1 1:224.47461 2:3.8033893 3:11.028433 4:0.11517844 5:1.8154954 6:-1.6801819 7:1.5298629 8:-0.9885476 9:1.6218988 10:-4.2189884 11:4.197267 12:-3.1213915 13:4.233645 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:226.82109 2:5.755925 3:11.555264 4:-0.18927498 5:4.224112 6:-0.008434439 7:2.2809463 8:-1.4858053 9:2.2484827 10:-2.0008922 11:5.504643 12:-3.654033 13:4.881816 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:229.77032 2:6.0461698 3:12.3183 4:3.1796293 5:9.23985 6:1.6480678 7:5.3749814 8:-0.3731525 9:2.9505951 10:-3.70411 11:3.1424212 12:-4.2084985 13:3.167561 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:235.84183 2:2.781965 3:12.810213 4:3.8217938 5:9.638591 6:-0.3102334 7:6.5825453 8:1.1458646 9:1.2985479 10:-2.9848578 11:2.0547526 12:-2.5056546 13:3.6551135 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:265.80243 2:8.44686 3:9.125246 4:7.2844725 5:15.894588 6:-3.0948982 7:6.7073493 8:-4.5502524 9:0.12049284 10:0.5123568 11:9.255378 12:-5.1618214 13:2.8661995 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:280.81543 2:11.181464 3:3.307874 4:9.176943 5:16.64041 6:-6.28307 7:9.283616 8:-4.900903 9:-1.986077 10:1.0668211 11:10.058331 12:-4.9462366 13:3.9746308 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:280.10135 2:14.3662 3:4.1099844 4:11.931712 5:16.360073 6:-7.6266227 7:11.829751 8:-5.5652294 9:-4.7806573 10:0.3372717 11:6.777096 12:-6.035853 13:5.7915187 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:281.80777 2:16.848673 3:3.718618 4:11.740632 5:14.997382 6:-7.8353233 7:12.365273 8:-7.5542145 9:-3.6432693 10:-0.7371009 11:8.085383 12:-5.5554676 13:5.6825204 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:282.24597 2:15.063762 3:4.699795 4:10.597186 5:14.796076 6:-5.0589223 7:12.391856 8:-7.4422073 9:-3.92087 10:-2.0605738 11:7.817535 12:-5.0946536 13:6.1247554 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
1 1:276.7524 2:16.341398 3:5.178203 4:8.7280855 5:15.863105 6:-4.5837145 7:12.146958 8:-7.1946716 9:-3.3096313 10:-1.253877 11:8.374532 12:-5.621233 13:6.0175257 14:87.553955 15:3.0379643 16:1.598591 17:1.9423739 18:3.8845348 19:0.32568485 20:1.208276 21:-1.3989093 22:-0.77887595 23:-1.4076872 24:1.4759685 25:-1.8312528 26:2.0366294 
