1 1:233.85532 2:7.2912064 3:7.7697043 4:-1.9329896 5:4.1359715 6:0.34702608 7:3.6902764 8:-1.3350952 9:3.3714237 10:-1.3811897 11:5.848188 12:-2.1909013 13:4.3111916 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:233.624 2:8.951222 3:8.241481 4:-1.5218626 5:5.080825 6:0.026554406 7:3.1781058 8:-2.6097567 9:2.5982304 10:-4.373391 11:4.7342544 12:-2.373017 13:4.4254603 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:234.92691 2:7.6883774 3:12.512281 4:1.1592373 5:6.64543 6:-0.4581342 7:3.638163 8:-2.9369628 9:3.2559237 10:-2.573844 11:6.324294 12:-2.399563 13:4.792451 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:234.3818 2:7.6322603 3:11.199761 4:0.08388926 5:5.1060266 6:-0.09423156 7:2.9660153 8:-2.2508783 9:1.2200652 10:-5.134386 11:5.925046 12:-2.0977 13:5.7193627 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:234.71402 2:8.09291 3:12.38048 4:-0.10563222 5:8.016436 6:0.6662481 7:5.147682 8:-1.0879635 9:5.6493983 10:-2.2485595 11:6.7502666 12:-3.670934 13:4.323629 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:237.0778 2:9.707818 3:13.523454 4:1.1826652 5:8.647258 6:-0.77980953 7:5.7513437 8:-0.9811143 9:4.529742 10:-3.1928427 11:5.797361 12:-5.1836796 13:3.1574903 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:235.7105 2:8.875679 3:10.513444 4:-2.5086355 5:4.7677 6:-0.936434 7:-0.6942035 8:-2.605488 9:2.2145174 10:-3.2240531 11:6.122339 12:-4.265129 13:3.377803 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:232.93364 2:7.94154 3:11.134453 4:-2.9379106 5:5.4810343 6:1.189271 7:1.0214072 8:-0.81184053 9:3.587877 10:-5.412984 11:4.728639 12:-4.5226097 13:3.3981488 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:237.01546 2:7.5409684 3:10.379281 4:0.2556937 5:6.7265906 6:0.59756035 7:5.0203247 8:-2.863619 9:4.59227 10:-1.555663 11:6.5170503 12:-3.9220862 13:4.1483235 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:237.08769 2:8.200765 3:9.834879 4:-1.6486592 5:6.0702066 6:-0.45248675 7:3.6049137 8:-2.5316863 9:5.502924 10:0.26213682 11:6.794748 12:-4.772817 13:3.905402 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:233.32333 2:7.8311205 3:11.496009 4:-0.37631872 5:5.6644073 6:-1.2530566 7:-0.17285764 8:-4.887387 9:3.277438 10:-2.5558405 11:5.099567 12:-1.8628818 13:4.342401 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:234.39977 2:9.4725065 3:12.8065605 4:1.4068998 5:6.45715 6:-2.026064 7:2.8133361 8:-2.868008 9:4.1968756 10:-3.0855885 11:5.597575 12:-3.2249718 13:5.3132076 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:259.57108 2:6.5155005 3:6.849671 4:1.8373605 5:7.820527 6:-3.0210268 7:6.2056737 8:-0.72562206 9:2.3905673 10:-0.0821659 11:3.3105438 12:-2.7448287 13:1.4206494 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
1 1:258.0265 2:7.315786 3:7.3666825 4:1.5445628 5:8.3510065 6:-3.0446098 7:5.4345284 8:-1.8063781 9:1.4984056 10:-1.7057871 11:3.2602668 12:-1.5812694 13:1.1852671 14:85.31808 15:4.8219604 16:4.4011626 17:0.23550047 18:2.9073846 19:-1.9717622 20:1.9366554 21:-0.782994 22:1.1618483 23:0.3196872 24:2.3035133 25:-1.8956383 26:1.1013207 
