2 1:227.87184 2:3.0003417 3:4.975888 4:-2.9980662 5:2.01511 6:-3.7355578 7:1.7540692 8:-1.9851221 9:5.2746835 10:-2.181736 11:4.84074 12:-0.6815628 13:5.4383583 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:230.3881 2:3.6581225 3:4.0175776 4:-2.015703 5:3.0636022 6:-3.7919598 7:2.954257 8:-2.9683897 9:4.0767584 10:-1.9714054 11:4.5951843 12:0.035019524 13:5.1205087 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:230.84203 2:2.9221084 3:3.987899 4:-2.954799 5:-0.5801615 6:-4.436814 7:2.3243906 8:-3.4582357 9:4.7306056 10:-3.0839624 11:1.9302928 12:-1.7508459 13:3.3581583 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:234.06502 2:5.931592 3:8.022881 4:-1.9161664 5:0.98107743 6:-4.452 7:2.7127287 8:-1.049964 9:4.606152 10:-3.3083286 11:3.8350828 12:-1.4260741 13:3.1368926 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:232.93977 2:7.3696637 3:5.2762866 4:-1.982909 5:2.0973017 6:-4.2652664 7:3.7741656 8:-2.5554786 9:6.3117294 10:-0.82997674 11:3.7709634 12:-0.29975623 13:4.124632 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:233.5184 2:6.342298 3:4.2283344 4:-3.5477996 5:1.729767 6:-3.258266 7:2.8919218 8:-3.502364 9:5.524583 10:-1.7020959 11:5.768957 12:0.24280374 13:5.3984184 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:231.77206 2:6.0143895 3:6.214208 4:-2.4416168 5:2.9813924 6:-0.69837147 7:3.4271111 8:-2.53981 9:3.6908262 10:-1.5479182 11:3.9907 12:-3.460876 13:4.14462 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:234.4869 2:5.4377403 3:6.153452 4:-2.1540296 5:3.3974237 6:-2.0640934 7:2.5043347 8:-2.5044918 9:4.8054533 10:-0.65415066 11:4.8197746 12:-1.9658464 13:6.6889434 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:239.52454 2:10.2771015 3:8.81362 4:1.3132226 5:8.349474 6:-0.4768783 7:6.2565603 8:-2.5512245 9:5.169868 10:-2.339067 11:4.685232 12:-2.6185973 13:3.8572414 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
2 1:251.75867 2:15.970906 3:10.159819 4:0.5669451 5:8.984055 6:-0.43013668 7:8.388851 8:-3.4926217 9:6.4508862 10:-4.7224174 11:0.9422139 12:-4.607437 13:4.277983 14:68.759445 15:0.87144405 16:1.3373075 17:-0.8852685 18:0.9115715 19:-0.60924417 20:1.3718024 21:-0.5128668 22:1.0864352 23:-0.285335 24:1.0677757 25:-0.13411404 26:1.1703844 
