2 1:259.66803 2:-5.4668207 3:8.62521 4:-3.1654046 5:1.1948937 6:-1.4903991 7:1.7781978 8:-1.4194304 9:2.0311825 10:-0.1988813 11:1.6446729 12:-3.0657814 13:1.0818532 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:256.80612 2:-6.0102024 3:10.058171 4:-1.7422651 5:2.2233863 6:-1.3431438 7:2.2172656 8:-2.1494346 9:0.55875814 10:-1.1137488 11:1.5034965 12:-0.9541942 13:3.1221752 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:260.82703 2:-3.8310251 3:10.870391 4:-3.256038 5:1.0887877 6:-1.4929756 7:2.4553208 8:-1.1005292 9:1.4048419 10:-1.0727156 11:2.9372327 12:0.013816506 13:3.012456 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:259.0776 2:-3.4875946 3:10.601288 4:-2.4124672 5:2.3658252 6:-2.0244884 7:0.76998144 8:-3.0950487 9:2.061848 10:-0.8213796 11:2.7051134 12:-1.3495691 13:1.3015418 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:258.47617 2:-3.6032348 3:10.351257 4:-0.7787381 5:3.7638469 6:-2.9178777 7:-0.3862139 8:-1.4719702 9:3.5938163 10:0.15365045 11:2.8881238 12:-1.879436 13:0.88861555 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:258.0198 2:-4.4402943 3:9.3543215 4:-0.075028546 5:0.9817986 6:-2.7419858 7:2.203516 8:-0.7503357 9:4.240932 10:-1.2346586 11:2.4434493 12:-3.2046185 13:0.40921614 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:258.7407 2:-3.4060292 3:11.351598 4:-0.6652926 5:1.351175 6:-2.440118 7:0.11542137 8:-3.618294 9:1.6717198 10:-1.9792689 11:1.8693584 12:-1.1916244 13:2.2443218 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:261.09488 2:-3.5604405 3:9.932339 4:-1.8562926 5:1.410214 6:-2.9444308 7:0.4689947 8:-1.7915306 9:2.0623431 10:-0.40000826 11:2.2824147 12:-1.0284919 13:2.198249 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:258.74948 2:-4.460805 3:9.613879 4:-0.9925632 5:2.8835864 6:-1.8359979 7:0.32554168 8:-1.6063299 9:2.1679304 10:-2.428884 11:0.61711735 12:-1.8804274 13:1.3482938 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:261.87155 2:-2.3348181 3:9.793199 4:-2.7826526 5:1.1716732 6:-3.7049468 7:-1.1699959 8:-4.3404446 9:0.25250614 10:-2.11291 11:1.7006826 12:-1.1898141 13:2.2331414 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:261.5721 2:-2.081642 3:10.347809 4:-2.5945249 5:2.9425213 6:-3.2171557 7:0.1710067 8:-2.2421045 9:2.1645691 10:-0.18333891 11:3.4157379 12:-0.9514409 13:2.6015067 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:268.51865 2:1.2845404 3:13.516353 4:-0.7396704 5:5.8639517 6:-0.7127075 7:1.0624735 8:-1.4659714 9:6.3345146 10:-0.9462188 11:2.1140833 12:-1.4489391 13:3.6180806 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:283.4732 2:8.643495 3:10.345574 4:-3.58443 5:7.644929 6:-0.50099915 7:1.6393237 8:-2.1306658 9:8.511902 10:-0.069003865 11:3.0295913 12:-2.6865654 13:4.544074 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:287.09802 2:11.010921 3:12.903383 4:-4.6932 5:6.9534936 6:-1.3433665 7:2.0773895 8:-1.8192512 9:8.836197 10:0.7374472 11:4.6296835 12:-2.7383943 13:4.8833256 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:288.79343 2:11.43199 3:12.686329 4:-7.100963 5:5.276418 6:0.64057404 7:3.3848827 8:-1.8890159 9:7.563047 10:0.09932485 11:5.694289 12:-1.7168854 13:5.1386585 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:292.28247 2:11.775798 3:13.36275 4:-7.273362 5:4.1392193 6:-0.74310756 7:2.772432 8:-2.4020383 9:6.475261 10:-0.6555401 11:5.299187 12:-1.6721402 13:5.9240193 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
2 1:298.47733 2:17.79057 3:19.3678 4:-5.5125165 5:5.4454155 6:-1.0568228 7:2.4399447 8:-6.8778143 9:2.8316982 10:-3.9573357 11:3.7204566 12:-3.164991 13:4.7506337 14:91.043495 15:5.322185 16:4.1099205 17:-3.1381302 18:1.6129678 19:0.8847739 20:2.5187135 21:-0.857212 22:1.2535598 23:-1.3609525 24:1.5055172 25:-0.6822733 26:1.025601 
