2 1:259.56107 2:-5.617418 3:9.890767 4:-2.7688472 5:-0.40618286 6:-3.8796628 7:0.41061 8:-0.59990305 9:2.2618499 10:-0.81251013 11:1.7094162 12:0.14279437 13:2.9469483 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:258.72845 2:-5.588575 3:8.970693 4:-0.54174984 5:3.4899466 6:-1.4830799 7:1.9465516 8:-2.440669 9:2.0726073 10:-0.7918436 11:3.6406252 12:1.187048 13:3.5992615 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:260.59982 2:-3.7515821 3:10.629154 4:-1.0624198 5:2.588195 6:-3.4628036 7:1.1056752 8:-0.57118416 9:2.72335 10:-1.4140472 11:3.9497745 12:-0.80079037 13:2.6715434 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:273.88782 2:4.21214 3:14.11671 4:-0.7111796 5:5.0730405 6:-0.3766251 7:3.7084818 8:-1.4354218 9:4.684495 10:-1.2978555 11:4.14827 12:-1.6392702 13:4.052294 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:278.23203 2:7.399031 3:16.053322 4:-1.8310813 5:5.54289 6:0.050282013 7:3.6640997 8:-2.6326807 9:5.605521 10:-0.13320994 11:5.2982707 12:-2.4437106 13:3.719371 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:279.7955 2:7.8188024 3:15.635949 4:-2.2471094 5:6.6390266 6:1.6079798 7:5.5413184 8:-3.183927 9:5.0998664 10:-1.0502558 11:4.717375 12:-1.8402034 13:4.639558 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:288.6322 2:12.816313 3:19.268026 4:-1.0328732 5:4.9023356 6:-1.4957925 7:1.2251725 8:-6.2488556 9:1.5386436 10:-3.6466234 11:4.3052797 12:-3.7178912 13:3.9668663 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:297.0645 2:18.568895 3:21.257767 4:-2.8203018 5:4.4819026 6:-4.3067236 7:0.70177627 8:-8.298994 9:1.6528375 10:-3.099565 11:5.196091 12:-3.7087343 13:4.3485627 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:301.6371 2:19.8308 3:21.31741 4:-5.429713 5:3.6505597 6:-3.6696537 7:0.36795545 8:-8.080284 9:2.6521723 10:-3.444726 11:5.1064177 12:-3.3475652 13:3.9587195 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:305.052 2:22.07972 3:21.031391 4:-7.425869 5:2.0142844 6:-2.9041626 7:3.3845642 8:-7.4067054 9:1.949325 10:-4.154528 11:6.493536 12:-2.6029842 13:3.4699438 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:310.84686 2:23.150854 3:19.393536 4:-10.273224 5:1.2671432 6:-3.1916392 7:1.7928997 8:-6.7198544 9:2.6309223 10:-3.4267733 11:7.391113 12:-4.1254215 13:4.234259 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
2 1:310.97366 2:23.85277 3:17.02385 4:-11.812414 5:0.084639885 6:-3.020953 7:2.637567 8:-6.0454288 9:4.488703 10:-2.6352842 11:6.8171782 12:-4.054608 13:3.2956998 14:89.77448 15:3.8795674 16:4.2231483 17:-1.5458169 18:0.054942925 19:-0.3204584 20:1.4954225 21:-1.2274313 22:0.9982729 23:-1.631287 24:1.0310285 25:-1.0843233 26:0.6700357 
