2 1:269.26343 2:1.0518422 3:8.027143 4:-1.2064279 5:3.8061137 6:-1.4804522 7:2.202617 8:-2.888561 9:2.0285807 10:-4.1062093 11:1.4164855 12:-1.8812602 13:3.4908757 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:271.2783 2:1.4525148 3:10.193855 4:-2.0668619 5:1.7281337 6:-4.0436597 7:0.92519885 8:-3.1482306 9:1.4943213 10:-3.8274775 11:2.1645887 12:-0.7189881 13:2.6389928 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:268.71213 2:0.92993736 3:9.097289 4:-1.9926746 5:2.5598478 6:-1.7634528 7:1.912296 8:-2.043562 9:2.2966416 10:-3.1347446 11:2.1563208 12:-1.5136563 13:3.6174612 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:267.99344 2:-0.9390227 3:7.9402757 4:-2.2860813 5:2.9550905 6:-2.3217037 7:2.5321817 8:-1.944657 9:2.0182364 10:-3.0814989 11:2.0005317 12:-1.6555189 13:2.5524528 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:270.50674 2:0.3206229 3:8.013717 4:-3.1939228 5:2.7860582 6:-2.7271392 7:0.7646992 8:-2.6463194 9:0.8376781 10:-4.13886 11:2.2328584 12:-0.14443994 13:3.7687216 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:269.6671 2:-0.43831456 3:10.666857 4:-1.3907413 5:2.130923 6:-2.7314212 7:2.9846234 8:-1.7066196 9:2.3140168 10:-2.791694 11:2.385672 12:0.45335174 13:4.7739244 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:278.2438 2:5.4967875 3:11.792283 4:-1.6479555 5:4.8142896 6:-1.7897867 7:4.69719 8:-1.1033785 9:5.3470416 10:-1.0926912 11:3.5213537 12:-1.5216072 13:2.9819996 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:285.10202 2:10.418449 3:13.83965 4:-3.8670068 5:5.4207916 6:-1.5121363 7:5.140864 8:-1.9362857 9:5.9824033 10:-0.057452556 11:4.802329 12:-2.624569 13:4.37644 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:289.7739 2:10.295413 3:13.069053 4:-5.730777 5:5.9233036 6:-0.55692655 7:4.987017 8:-0.7336821 9:5.855004 10:0.43740308 11:6.11003 12:-1.8348043 13:4.8827267 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:293.39618 2:11.9352665 3:12.485705 4:-5.386487 5:4.815992 6:-1.3540883 7:4.17319 8:-2.9536679 9:5.494649 10:0.20495318 11:5.030908 12:-2.3624728 13:5.34194 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:303.23352 2:16.185097 3:16.533852 4:-4.3741217 5:5.027336 6:-1.4577919 7:2.7285829 8:-6.051982 9:2.2266192 10:-3.098284 11:3.7956612 12:-2.8120937 13:4.967063 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:306.94104 2:21.328922 3:19.11068 4:-6.5760093 5:3.5045366 6:-2.987364 7:2.5091374 8:-9.1306 9:2.1338696 10:-2.9736779 11:5.1151714 12:-2.9670382 13:4.0709357 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:308.56018 2:21.942595 3:18.00728 4:-7.652399 5:2.99555 6:-3.9683049 7:0.8803386 8:-8.578443 9:4.1393886 10:-3.7409923 11:5.0464096 12:-2.6325834 13:3.9434605 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:311.37384 2:22.883686 3:17.094013 4:-9.186858 5:1.0954812 6:-3.4874558 7:3.2568073 8:-7.876046 9:4.363488 10:-3.9862194 11:5.885512 12:-2.8327086 13:3.559223 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:313.6907 2:23.492254 3:16.80316 4:-11.878103 5:0.07962871 6:-2.4973881 7:2.9937544 8:-7.0880456 9:5.2022486 10:-4.8686814 11:5.24826 12:-2.4474707 13:3.1735275 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
2 1:315.96863 2:24.265522 3:15.39182 4:-13.487805 5:-1.9817327 6:-3.1713805 7:4.5824656 8:-7.029676 9:4.1672273 10:-5.688311 11:4.662878 12:-3.0668173 13:3.3622231 14:94.52421 15:4.983828 16:3.0402694 17:-2.7536008 18:0.6616357 19:1.2918642 20:1.7574759 21:-1.6619471 22:2.5336132 23:-1.8139122 24:0.68469006 25:-0.5245211 26:1.3751895 
