1 1:279.61752 2:19.191334 3:10.312839 4:-5.1991506 5:12.220677 6:0.3229762 7:5.1170034 8:-3.864021 9:2.4458497 10:-3.0317543 11:4.2365856 12:-1.9162444 13:8.1742935 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:278.62393 2:20.277252 3:10.92734 4:-7.0904655 5:11.62109 6:-1.1125363 7:4.91543 8:-3.9431996 9:1.5526098 10:-2.1279202 11:3.832478 12:-1.9483101 13:7.0444117 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:269.94058 2:18.53357 3:13.521364 4:-6.736391 5:12.180171 6:-1.0058258 7:6.300136 8:-4.2887826 9:2.0708342 10:-4.8662143 11:2.3493783 12:-0.90097284 13:6.121937 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:266.05902 2:16.64947 3:12.86378 4:-6.127442 5:11.987311 6:-0.78451675 7:6.58058 8:-4.2753153 9:2.7756732 10:-4.336845 11:1.6991383 12:-2.120754 13:4.8509455 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:264.24042 2:15.56578 3:13.345654 4:-5.9648905 5:9.213745 6:-2.8345082 7:5.8147225 8:-1.6553603 9:1.7622029 10:-2.8274276 11:4.7205944 12:-1.8569552 13:2.8824718 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:267.73047 2:16.781841 3:14.373938 4:-6.832606 5:6.686571 6:-3.7422833 7:5.7691636 8:-1.8377305 9:1.5688175 10:-4.0374618 11:3.509521 12:-1.0789462 13:4.9302373 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:282.95187 2:21.024923 3:13.534784 4:-5.878676 5:8.177828 6:-3.555929 7:5.567423 8:-4.4346037 9:3.4370446 10:-2.237236 11:3.5876176 12:-4.2643933 13:4.796306 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:290.97076 2:23.869917 3:11.53502 4:-4.9846544 5:9.196687 6:-6.254762 7:4.9742494 8:-4.4478106 9:4.1285715 10:-2.4831092 11:2.6196778 12:-4.94776 13:4.086292 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:298.9539 2:30.367252 3:5.2214274 4:-3.8420026 5:10.746642 6:-9.4746685 7:4.653211 8:-5.1107135 9:4.717227 10:-4.4155397 11:3.5322928 12:-5.547529 13:7.4017587 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
1 1:303.44424 2:28.817362 3:5.500598 4:-3.0047827 5:8.786011 6:-9.117248 7:4.1484704 8:-5.56792 9:5.1657233 10:-4.974208 11:4.635394 12:-4.9639697 13:6.974282 14:96.1845 15:5.5942736 16:-1.0404282 17:2.3029125 18:3.633632 19:-2.262969 20:2.1555004 21:-2.5466027 22:0.86103666 23:-1.0310231 24:2.0021107 25:-1.5372761 26:1.5051187 
