1 1:226.78448 2:2.6994207 3:12.486006 4:4.612034 5:2.2022104 6:-0.35892338 7:2.605188 8:-5.2879443 9:3.0976872 10:-3.6915872 11:4.612483 12:-0.46791524 13:2.492065 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:229.09613 2:2.6317937 3:12.38248 4:3.6105728 5:3.2863505 6:0.037129413 7:2.7284722 8:-2.3738277 9:5.7470193 10:-2.4399898 11:5.35477 12:-1.9896181 13:2.3178904 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:229.90668 2:3.4054587 3:13.053313 4:0.48719057 5:2.2097826 6:1.6947839 7:4.451921 8:-2.3030412 9:5.837999 10:-1.9006839 11:6.544715 12:-1.2760482 13:1.6052182 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:231.91632 2:2.4642344 3:11.629858 4:1.6421188 5:1.9317865 6:0.78145826 7:4.940438 8:-4.2160683 9:1.9526805 10:-2.6809103 11:4.7209587 12:-1.0243616 13:3.6089237 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:240.90567 2:-2.884385 3:11.047876 4:3.6020784 5:-1.8377101 6:0.57377225 7:5.790802 8:-3.9145477 9:3.6893563 10:-0.7837403 11:4.802927 12:-3.4862418 13:1.4723996 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:247.87216 2:-4.489643 3:11.415322 4:5.412102 5:-2.889596 6:0.77717525 7:4.042414 8:-5.812911 9:4.1449366 10:-1.8327308 11:5.8794146 12:-1.9490982 13:2.491857 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:239.84674 2:-0.35943857 3:9.719234 4:1.4255643 5:-0.20270333 6:1.1941825 7:3.3324213 8:-1.4301567 9:5.610573 10:-0.8318696 11:5.2674413 12:-0.8482485 13:3.0137606 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:236.52013 2:0.7634077 3:12.622158 4:1.78306 5:1.5918566 6:-2.1236067 7:3.2810118 8:-0.4233079 9:5.178068 10:-2.997515 11:3.9230025 12:-0.09051301 13:2.978383 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:236.32175 2:0.32921013 3:12.703425 4:0.56824124 5:0.09055356 6:-0.54265755 7:4.047494 8:-1.2612451 9:5.388305 10:-2.3114295 11:3.9923596 12:-0.8049729 13:2.4493525 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:229.80086 2:1.9118586 3:12.187691 4:1.7879269 5:0.39903083 6:0.12982748 7:3.167001 8:-3.3529701 9:3.7791588 10:-3.026827 11:6.2212787 12:-2.996997 13:2.152283 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:229.9194 2:0.6387364 3:12.791442 4:2.666154 5:1.4092474 6:3.6107032 7:3.5712867 8:-3.9380686 9:3.5447981 10:-3.677441 11:5.3439536 12:-2.3400066 13:1.9452946 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:223.46904 2:-3.1369877 3:8.124582 4:1.5105276 5:3.6406431 6:3.9615686 7:4.589058 8:-1.5676059 9:7.249147 10:-1.4756006 11:5.9424243 12:-1.0794691 13:1.753441 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:223.57658 2:-2.633724 3:8.811781 4:0.41140622 5:0.91920567 6:2.458526 7:5.737797 8:0.71612996 9:6.8627563 10:-2.5634158 11:4.6889973 12:-0.8977645 13:2.1466677 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:226.86212 2:1.0925434 3:12.667169 4:1.958807 5:-1.3717643 6:0.015720384 7:2.1479542 8:-3.0378814 9:6.6979284 10:-3.4043865 11:5.344287 12:-0.3064852 13:4.727158 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
1 1:229.43652 2:4.004249 3:13.726487 4:2.4155211 5:0.06484489 6:-0.20835154 7:1.6402874 8:-4.4179993 9:5.339673 10:-4.118403 11:5.15744 12:-0.4587303 13:3.4049032 14:93.852905 15:2.95927 16:3.8156557 17:-0.08224526 18:3.0429754 19:0.6108014 20:0.8448851 21:-0.07881423 22:0.20801933 23:-1.5061154 24:0.84376866 25:-0.51357424 26:1.5122364 
