1 1:230.66953 2:8.323958 3:12.172528 4:-2.3726008 5:3.6856544 6:2.2735026 7:4.943399 8:-3.328855 9:2.1369162 10:-5.7997613 11:4.737306 12:-1.3035327 13:5.0453486 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:232.99629 2:8.770636 3:13.288269 4:-0.80510354 5:2.575751 6:-2.2205548 7:2.2142303 8:-2.9805639 9:2.5964773 10:-5.291331 11:6.410718 12:-1.126075 13:4.879771 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:229.93916 2:7.640367 3:13.314169 4:-0.5165311 5:2.7336142 6:-0.3792245 7:2.8825102 8:-0.35633147 9:5.7345886 10:-3.2191248 11:7.1811576 12:-0.23947105 13:4.657192 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:228.93883 2:7.1981053 3:10.906766 4:-1.9597603 5:3.188913 6:0.75709784 7:2.9217174 8:-1.1925641 9:4.121843 10:-3.6239333 11:7.496475 12:-0.65129054 13:5.5653 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:231.55006 2:11.236634 3:14.122395 4:-1.1811785 5:1.9594824 6:-1.1299509 7:3.8619292 8:-4.0709634 9:1.4989507 10:-5.980718 11:4.525966 12:-1.6815763 13:5.621625 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:231.44408 2:11.0773325 3:15.350066 4:-1.9651206 5:0.8749941 6:-2.7408667 7:1.841221 8:-3.9369314 9:0.5899447 10:-6.9605966 11:4.0839877 12:-2.1640887 13:4.849829 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:231.22105 2:8.604537 3:13.24813 4:-0.17814979 5:3.8717682 6:0.908909 7:5.826987 8:-0.9905859 9:1.3872628 10:-5.706629 11:5.1147957 12:-3.7111702 13:5.91169 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:231.59406 2:9.091499 3:11.545216 4:-2.2242408 5:4.186199 6:1.4626988 7:7.5014896 8:0.10803131 9:3.6618485 10:-3.299008 11:5.345883 12:-3.2186751 13:4.367996 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:231.28297 2:10.293736 3:11.110018 4:-1.144554 5:2.3920882 6:-3.0559094 7:6.5012126 8:-2.8056452 9:2.2291312 10:-1.9762915 11:6.0586996 12:-1.6468312 13:5.989324 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
1 1:233.32669 2:11.308926 3:11.551396 4:-0.33898976 5:2.102655 6:-5.7353935 7:5.2487583 8:-2.482525 9:3.7896767 10:-1.4202303 11:4.8649845 12:-2.280249 13:5.8878484 14:69.53039 15:3.133202 16:2.9610636 17:-1.0643582 18:0.6000221 19:-0.39738026 20:1.9779694 21:-0.293585 22:0.6096515 23:-1.0704305 24:2.12636 25:-0.55585796 26:1.542771 
