1 1:239.21043 2:8.995185 3:14.906509 4:4.551858 5:8.028455 6:0.29942203 7:4.1963043 8:2.4474134 9:10.5536375 10:-2.1723678 11:6.773436 12:-4.612576 13:2.580411 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:245.43625 2:10.87212 3:17.15161 4:5.210299 5:8.949225 6:-0.5489162 7:6.0522594 8:0.77330464 9:8.999485 10:-1.2960228 11:5.9072356 12:-4.885652 13:5.9511337 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:251.74857 2:11.688879 3:17.218012 4:3.1876369 5:8.795295 6:-0.5468624 7:6.141353 8:1.4366457 9:9.394787 10:-2.3405428 11:6.866974 12:-3.900236 13:4.5157337 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:249.89056 2:12.625584 3:18.001394 4:2.9234872 5:10.297069 6:0.5932919 7:8.227351 8:1.1716131 9:8.757788 10:-3.2138028 11:5.5923057 12:-4.5768228 13:4.339434 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:250.7936 2:12.795978 3:18.211727 4:4.1557565 5:9.5231085 6:0.032121927 7:8.576796 8:1.5282874 9:10.14655 10:-3.9681501 11:3.8927772 12:-6.938405 13:4.270429 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:258.58447 2:13.48527 3:18.144924 4:3.0878067 5:11.164128 6:0.14064503 7:7.0056276 8:0.14503199 9:8.267716 10:-3.6372945 11:4.1683187 12:-5.2994895 13:4.864491 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:248.07646 2:15.790135 3:21.202814 4:3.5438013 5:11.744745 6:9.730544E-4 7:5.8714986 8:0.2747892 9:9.0981455 10:-4.512012 11:4.6125455 12:-5.502912 13:5.0958576 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:265.16214 2:15.771773 3:17.102646 4:1.2560774 5:10.254857 6:0.09653192 7:7.2516403 8:0.17734651 9:7.6198163 10:-3.3354242 11:5.4552703 12:-5.3565397 13:4.4014 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:264.0157 2:17.807364 3:17.912237 4:2.0413237 5:10.319502 6:-1.3878179 7:7.466289 8:-0.04475563 9:8.91656 10:-2.9431498 11:5.640881 12:-5.503854 13:5.210893 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:270.5347 2:15.603923 3:17.343925 4:3.0370786 5:10.010477 6:-1.0684867 7:8.308676 8:-0.25846794 9:8.577363 10:-2.8675642 11:5.5676336 12:-5.791603 13:4.3502474 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:282.2777 2:21.608854 3:18.066595 4:-0.37481716 5:6.1519113 6:-4.1285105 7:6.2541127 8:-1.2165123 9:8.118684 10:-3.5666435 11:5.0195203 12:-5.487151 13:6.5339785 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:309.0691 2:25.379602 3:16.081896 4:-4.8165107 5:0.84147906 6:-5.3647223 7:6.682121 8:-0.2926213 9:5.8431926 10:-4.090757 11:4.0646567 12:-6.8914337 13:8.975846 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:316.70584 2:26.073713 3:14.048493 4:-5.7519193 5:-1.2351643 6:-4.9528933 7:6.4263325 8:-0.7542975 9:4.2413564 10:-5.1309805 11:4.6672726 12:-7.24037 13:10.833968 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:321.53723 2:26.298275 3:11.42508 4:-7.7985663 5:-0.0500897 6:-1.0359507 7:4.967131 8:-1.4900725 9:3.962137 10:-5.995249 11:5.771602 12:-5.8877416 13:12.988437 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:334.3193 2:20.468395 3:10.093498 4:-7.4415984 5:0.76695263 6:-0.8266515 7:3.2900531 8:-2.2394254 9:3.3459241 10:-5.1706967 11:6.140464 12:-4.2169013 13:10.255003 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:334.4426 2:23.332623 3:5.5671687 4:-4.0489893 5:0.14014366 6:1.3180665 7:3.1519496 8:-3.988756 9:3.767098 10:-7.040419 11:9.901012 12:-6.0830693 13:12.839045 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:333.6754 2:22.804861 3:5.5185018 4:-5.2405477 5:0.4225275 6:2.787249 7:1.382471 8:-3.790345 9:4.166938 10:-6.927482 11:9.762197 12:-5.9431477 13:12.510684 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:340.09686 2:18.967056 3:6.57279 4:-6.7805357 5:3.3888288 6:1.9781915 7:1.9858357 8:-7.0800643 9:3.3498783 10:-3.9682221 11:8.355778 12:-2.8366966 13:8.67239 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:339.25217 2:18.266073 3:6.2573957 4:-4.4299498 5:2.5038855 6:2.2501173 7:1.944089 8:-7.9167476 9:3.1314187 10:-4.593806 11:9.3779125 12:-3.2175975 13:8.922952 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:339.62134 2:14.74647 3:7.5962777 4:-0.79905283 5:4.3273053 6:0.38464352 7:1.2903833 8:-8.602359 9:0.92772055 10:-4.807884 11:9.686647 12:-2.5658536 13:5.607611 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
1 1:340.52246 2:14.433295 3:7.88352 4:-0.2974868 5:6.4060187 6:-0.9366977 7:0.7115104 8:-8.130889 9:0.8692394 10:-5.2120295 11:8.871348 12:-2.8186312 13:4.031996 14:81.12712 15:7.394433 16:7.8085103 17:0.28702596 18:1.2465097 19:-2.3574598 20:0.10366691 21:-1.0398042 22:2.2690358 23:-1.0085982 24:1.7834641 25:-1.9709758 26:1.2444096 
