1 1:319.8961 2:19.287006 3:1.0691075 4:0.29375032 5:8.562622 6:-10.700668 7:4.2212453 8:-4.9296207 9:3.1527512 10:-3.1653576 11:5.364899 12:-7.836944 13:5.3738894 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:324.1702 2:26.145086 3:-3.9084113 4:2.1805413 5:7.7437134 6:-14.085651 7:6.7121263 8:-5.426136 9:3.0683708 10:-3.2531543 11:7.7714033 12:-8.281955 13:6.293479 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:326.4735 2:25.098822 3:-5.5786424 4:1.0312068 5:8.160957 6:-14.819381 7:7.594497 8:-5.0460663 9:0.8519994 10:-3.8434942 11:8.712994 12:-8.157997 13:8.024788 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:329.51727 2:25.448244 3:-7.144727 4:0.6924489 5:10.09041 6:-13.815154 7:7.7635875 8:-4.0076814 9:-0.9228901 10:-2.8728 11:10.549955 12:-7.592203 13:8.983403 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:329.25198 2:25.99745 3:-7.2495265 4:-0.35386962 5:10.401004 6:-12.596488 7:7.9501925 8:-4.129636 9:-0.35345727 10:-3.022627 11:10.975492 12:-7.5442133 13:8.912053 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:329.21036 2:25.342869 3:-7.9174876 4:0.44876555 5:11.346979 6:-11.928352 7:8.498169 8:-6.91223 9:0.47882235 10:-1.863532 11:10.748096 12:-5.9252114 13:9.121846 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:329.18585 2:25.470797 3:-8.566765 4:1.707079 5:10.485899 6:-11.843658 7:9.222553 8:-7.4851832 9:-0.87181884 10:-1.3181725 11:10.943428 12:-7.1671057 13:9.200226 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:327.41183 2:20.993534 3:-4.9731216 4:3.977829 5:11.27673 6:-10.902634 7:6.0015707 8:-7.7552967 9:0.011213296 10:0.12168951 11:9.863212 12:-6.042733 13:7.488688 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:322.65082 2:23.312393 3:-5.681806 4:5.4843025 5:12.582742 6:-12.273555 7:6.1208706 8:-8.146379 9:-0.3914468 10:1.7373719 11:9.4100275 12:-7.3850045 13:8.078952 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:325.95032 2:17.839165 3:-2.1897998 4:5.9051447 5:12.412402 6:-11.217611 7:5.2801995 8:-7.507713 9:-0.6785768 10:-0.40074804 11:9.491978 12:-6.184094 13:6.0591216 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:326.02524 2:17.270802 3:-1.6346543 4:5.761186 5:12.6390295 6:-11.346907 7:5.4076853 8:-6.314949 9:-1.3873779 10:-0.82207143 11:9.446547 12:-6.3943057 13:6.321971 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:316.55228 2:23.470411 3:-4.8951025 4:6.998581 5:14.717695 6:-12.416072 7:7.259791 8:-7.579408 9:-0.7464791 10:-1.2131606 11:9.719553 12:-8.847999 13:8.004835 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
1 1:314.24554 2:22.137081 3:-3.9353673 4:8.198427 5:15.4784155 6:-10.068471 7:6.4624925 8:-8.705084 9:-0.44977254 10:-1.4108198 11:9.712277 12:-8.481574 13:7.524018 14:92.09211 15:6.789332 16:3.1936536 17:1.8175662 18:3.7687337 19:-3.614004 20:1.0332093 21:-2.7578208 22:1.2160169 23:-0.45853183 24:0.9420692 25:-2.347636 26:1.3117099 
