1 1:226.78029 2:7.998247 3:11.415121 4:-1.4445977 5:3.6125548 6:-0.7719934 7:4.046339 8:-0.35615185 9:2.6921449 10:-3.7112036 11:5.5759726 12:-5.487711 13:3.8995748 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:222.05446 2:5.801507 3:11.752734 4:-1.4677541 5:2.5310934 6:-2.589582 7:0.3266668 8:-1.1059605 9:5.975941 10:-0.809212 11:5.752401 12:-2.5283215 13:4.121153 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:222.99506 2:6.861164 3:10.730527 4:-2.7588603 5:1.9640553 6:-1.4449881 7:2.0238538 8:-0.35081503 9:6.517521 10:-0.48484924 11:6.4074726 12:-3.3354216 13:2.3614945 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:228.02626 2:8.803727 3:15.453803 4:-0.43725348 5:-0.32608998 6:-3.158819 7:3.408787 8:1.4338956 9:3.4310105 10:-5.5212574 11:3.818847 12:-2.6134312 13:4.9255323 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:238.88313 2:14.607239 3:17.686235 4:-0.71931845 5:1.758616 6:-4.1472464 7:2.6753237 8:-2.4333527 9:3.7496343 10:-7.120914 11:3.6328354 12:-3.7853332 13:5.551099 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:238.53976 2:13.819004 3:16.995844 4:1.3546385 5:4.9579124 6:-2.5897436 7:4.904072 8:1.3917062 9:7.136532 10:-4.2524433 11:5.873864 12:-5.0632877 13:6.255041 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:230.82524 2:9.544851 3:13.330651 4:-1.1390846 5:3.1718197 6:-3.0677302 7:5.1462574 8:1.6104378 9:6.6878033 10:-4.007155 11:4.812473 12:-3.6017547 13:6.052443 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:225.93161 2:9.485844 3:12.845658 4:-0.50385845 5:2.2164636 6:-1.8072437 7:3.9740798 8:0.18975267 9:7.671163 10:-3.7467873 11:5.334423 12:-2.051998 13:4.024228 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:223.31924 2:7.7630463 3:12.180654 4:0.9627544 5:3.8067334 6:-1.508604 7:3.006373 8:-2.0052354 9:5.515769 10:-2.6836312 11:5.826863 12:-1.2307521 13:4.1827307 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:223.27898 2:4.583801 3:11.678893 4:1.2128549 5:1.7074822 6:0.38752756 7:4.3395553 8:0.13423438 9:5.65795 10:-2.7874815 11:6.0279856 12:-3.127002 13:2.7891347 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:225.26288 2:5.1035514 3:11.166137 4:1.0151548 5:3.290596 6:1.992565 7:3.8021002 8:-0.7795229 9:4.6733546 10:-4.1002207 11:6.9325757 12:-1.7280121 13:3.5377626 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:237.49918 2:11.691996 3:13.626002 4:0.4882064 5:5.9895935 6:-2.426581 7:3.3869286 8:0.7187771 9:6.9597945 10:-4.522886 11:3.0725522 12:-4.9452806 13:5.06702 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
1 1:245.38087 2:12.750973 3:14.014739 4:-0.117743984 5:6.711949 6:-1.8437209 7:2.4272869 8:2.3286521 9:7.987476 10:-4.8513985 11:1.6054071 12:-5.5711527 13:5.2694497 14:69.378555 15:1.8197461 16:4.284133 17:-0.82992154 18:0.3000494 19:-0.24966928 20:1.1885442 21:-0.35591155 22:1.2105033 23:-0.94400316 24:1.017162 25:-1.0324911 26:0.9449371 
