2 1:259.6392 2:-11.087006 3:4.2523093 4:0.707513 5:2.2195804 6:-5.0663657 7:3.229375 8:0.07149515 9:1.7569271 10:-1.9472736 11:2.016449 12:-1.6682501 13:2.0023458 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:260.03366 2:-8.747051 3:5.9952354 4:2.4628494 5:2.0145352 6:-4.907182 7:2.258598 8:-1.1629633 9:2.281087 10:-0.20473039 11:3.5454824 12:-1.3290137 13:2.5617719 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:257.96567 2:-11.0413065 3:5.764464 4:4.219751 5:2.3801038 6:-3.1265793 7:4.146146 8:-1.4703449 9:1.3151574 10:-1.7795744 11:1.539561 12:-1.9128265 13:2.6614637 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:258.75836 2:-11.080291 3:4.791493 4:1.7376376 5:2.8474436 6:-4.460854 7:3.0677483 8:0.80675524 9:2.1283152 10:-0.6854395 11:1.0955447 12:-2.2831647 13:3.750751 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:260.8852 2:-10.072795 3:7.167 4:3.8736837 5:2.84411 6:-4.283736 7:3.5052888 8:0.98965216 9:2.6454945 10:-0.7636464 11:1.7111403 12:-3.1419983 13:1.468614 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:263.40683 2:-8.233739 3:6.598675 4:2.533175 5:3.3688776 6:-2.2900465 7:4.5671463 8:-0.74975324 9:2.6780806 10:-1.2675405 11:2.8518467 12:-1.9932952 13:3.296486 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:276.4917 2:0.6565492 3:15.875868 4:6.4818153 5:8.367104 6:-2.4815235 7:5.8322024 8:-0.4859364 9:4.391556 10:-2.2294872 11:4.4165435 12:-3.0564842 13:4.276786 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:296.49454 2:10.473659 3:17.00409 4:3.3179367 5:7.9892216 6:-2.2028372 7:7.01945 8:-2.520259 9:5.371742 10:-1.2891362 11:4.1092944 12:-4.7033443 13:6.1549425 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:297.03766 2:11.73375 3:17.34832 4:3.5352325 5:7.642888 6:-2.5745664 7:7.5652275 8:-3.2557843 9:4.2355275 10:-2.9203646 11:3.722122 12:-5.0944724 13:6.0156684 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
2 1:297.6941 2:9.674904 3:17.80968 4:3.1888885 5:7.2536654 6:-2.9616797 7:7.1641912 8:-3.0763981 9:4.3063717 10:-3.2406764 11:3.6052036 12:-4.254071 13:5.616197 14:80.74214 15:-1.5979909 16:1.5116748 17:0.24491191 18:0.9449126 19:-1.3929642 20:0.34812775 21:-0.29988763 22:0.71793914 23:-0.12010651 24:0.97624093 25:-1.2481042 26:0.45186582 
