2 1:280.61255 2:-4.4932685 3:5.910607 4:-3.189833 5:-0.4586405 6:-3.2955067 7:3.2192504 8:0.030900743 9:3.931825 10:-1.270765 11:0.22685592 12:-2.2035594 13:2.6087809 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:287.35992 2:-4.353547 3:7.49193 4:-2.4605184 5:-0.47697535 6:-2.4686947 7:5.211501 8:-0.45872286 9:0.7995299 10:-2.1242132 11:-1.1911324 12:-3.6516008 13:2.0354989 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:292.95422 2:-7.4478354 3:9.297548 4:-2.073447 5:-2.123086 6:-2.3294737 7:3.791377 8:0.35038388 9:1.8060422 10:-2.163667 11:-0.6637224 12:-2.9906194 13:0.6168103 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:298.8182 2:-5.852385 3:8.468382 4:0.43287313 5:-2.011885 6:-5.248474 7:2.953533 8:-1.1843879 9:3.576937 10:0.7981808 11:1.0312415 12:0.11835067 13:1.1370336 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:294.1317 2:-7.536053 3:8.179726 4:1.2813379 5:-1.08333 6:-2.3575873 7:4.558642 8:-1.4395318 9:1.5586586 10:-1.270892 11:1.3308303 12:1.525866 13:0.8069834 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:295.11133 2:-9.616121 3:9.9937725 4:3.219941 5:-0.7374688 6:-2.1370811 7:5.462619 8:-1.6529324 9:0.38076198 10:-1.9526879 11:1.0693355 12:1.424368 13:2.312109 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:296.1378 2:-10.075316 3:8.472032 4:2.846998 5:-0.9763427 6:-2.4061444 7:6.467709 8:-1.3794262 9:0.715386 10:-1.7966641 11:-1.3534837 12:-0.34260738 13:0.620899 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:290.70697 2:-13.746144 3:5.3880844 4:3.0801678 5:-1.152894 6:-2.5335786 7:5.73317 8:-1.4532862 9:1.2465085 10:-1.2715783 11:-0.15412703 12:1.7186958 13:1.8141552 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:291.5649 2:-13.293877 3:3.5454962 4:1.5920253 5:-2.4804714 6:-1.7819364 7:5.4501405 8:-2.561425 9:2.3542585 10:-0.55566794 11:1.058309 12:-0.781905 13:1.4572792 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:288.9831 2:-10.947692 3:5.7063274 4:1.8834428 5:-1.3445144 6:-1.8195028 7:5.1772523 8:-1.9577997 9:0.50467306 10:-2.1116197 11:0.58160174 12:1.0420666 13:1.5043818 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:288.5646 2:-8.089904 3:6.0655723 4:1.6597536 5:-2.2192156 6:-4.8545737 7:3.772268 8:-3.068364 9:2.1271553 10:-1.3451349 11:1.1010936 12:-0.22771063 13:1.5890076 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:284.1313 2:-6.963539 3:6.520697 4:2.01921 5:-1.2323859 6:-4.235756 7:5.2328005 8:-2.0868924 9:1.8362479 10:-4.104289 11:-0.006899562 12:-1.3199825 13:1.026722 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:290.30804 2:-4.1006546 3:5.637423 4:-2.7871788 5:-1.1102325 6:0.52086025 7:9.3850155 8:0.06634765 9:0.095179826 10:-5.055733 11:-0.43013555 12:-0.5386247 13:3.6050553 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
2 1:285.88733 2:-5.214921 3:5.789002 4:-0.37044993 5:0.41552725 6:-1.3798684 7:5.5213695 8:-1.4494879 9:0.47733754 10:-5.148085 11:-0.28423947 12:-3.45205 13:0.49485028 14:111.879524 15:1.9970492 16:5.3536763 17:1.8046318 18:2.8281636 19:-1.5777128 20:1.3092277 21:-1.0135885 22:0.5575071 23:-1.8874092 24:1.4901615 25:0.06487588 26:-0.0946171 
