2 1:335.0106 2:22.350548 3:20.37116 4:-11.795516 5:3.5934265 6:2.8213112 7:6.546921 8:-6.2614255 9:5.2169237 10:-2.4578915 11:2.1136425 12:-6.1960263 13:0.78484637 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:335.90167 2:20.840748 3:17.787565 4:-10.153062 5:4.3375764 6:3.4280252 7:6.489349 8:-5.4539843 9:4.5442038 10:-2.2858844 11:2.920139 12:-7.053662 13:1.6266121 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:335.5717 2:19.163534 3:17.798763 4:-9.253038 5:4.197681 6:5.66604 7:6.6450853 8:-4.5271792 9:3.3795764 10:-1.6080956 11:3.5087729 12:-8.178991 13:3.2762344 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:334.28296 2:21.00879 3:17.915379 4:-10.151608 5:3.5691748 6:7.455237 7:6.9467998 8:-5.2132354 9:5.6627445 10:-2.9988875 11:4.476031 12:-8.120896 13:1.6668346 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:334.47644 2:20.10521 3:15.331514 4:-6.6667604 5:3.7387307 6:5.4148283 7:9.564143 8:-4.235175 9:6.589282 10:-3.9363267 11:4.1917725 12:-7.9017816 13:1.5893136 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:335.5592 2:18.478382 3:14.60076 4:-5.426673 5:5.6662517 6:2.8662608 7:9.66042 8:-2.2142663 9:6.691053 10:-3.8298523 11:3.1156127 12:-7.306004 13:2.3162723 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:323.81784 2:20.581087 3:19.801151 4:-8.246405 5:3.5695343 6:3.4968374 7:9.606691 8:-1.9602515 9:7.78029 10:-2.3052902 11:5.398337 12:-9.43042 13:2.0754957 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:317.39127 2:19.219334 3:19.793499 4:-6.035135 5:4.183317 6:1.9096059 7:8.377181 8:-1.3656961 9:8.537535 10:-2.7060237 11:4.7438807 12:-8.757184 13:2.745368 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:309.86154 2:14.768553 3:16.52267 4:-2.112522 5:4.9188175 6:-0.68552667 7:7.4387555 8:-1.2686424 9:7.6658525 10:-2.227571 11:5.156606 12:-6.192807 13:2.70404 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
2 1:294.50897 2:12.579112 3:18.657835 4:-1.5167294 5:3.9696493 6:-1.0566226 7:7.1420903 8:-1.0965395 9:8.063279 10:-1.6637123 11:4.226701 12:-4.565531 13:3.1032274 14:99.63862 15:5.8203607 16:4.912628 17:-0.5764439 18:1.6531215 19:0.2739239 20:1.1390775 21:-3.1411502 22:0.8966637 23:-1.3195046 24:1.417153 25:-0.8770542 26:1.6365623 
