1 1:342.98535 2:-0.21789755 3:17.524176 4:4.4939084 5:6.446922 6:-1.880856 7:1.6044791 8:0.18406983 9:5.571067 10:-4.398566 11:2.814311 12:0.17309406 13:2.2641342 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:339.48883 2:-1.393333 3:19.853884 4:5.0553293 5:5.0346375 6:-1.6999334 7:1.9362442 8:-1.4162737 9:4.5075145 10:-3.152574 11:2.0516696 12:0.6024511 13:2.6843796 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:338.1503 2:-1.5273012 3:21.384417 4:5.2402754 5:4.41592 6:-1.65654 7:2.6225212 8:-2.562504 9:2.9531229 10:-1.2431294 11:2.9151168 12:-0.4084303 13:3.2569313 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:340.09372 2:-2.176971 3:21.178007 4:7.2405753 5:5.791794 6:-2.8930275 7:1.4022692 8:-3.0818658 9:3.490977 10:-2.6446674 11:3.2049174 12:0.48857602 13:2.8529031 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:342.43323 2:0.98584354 3:22.596527 4:9.168157 5:7.0330043 6:-3.9030094 7:-1.6127334 8:-5.712611 9:3.0275638 10:-3.085099 11:4.2538185 12:-0.009362541 13:3.259459 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:347.63065 2:4.6846046 3:23.381317 4:7.2895365 5:6.87744 6:-5.2648773 7:-0.105929285 8:-5.8423486 9:2.3123937 10:-3.4014661 11:4.19289 12:-0.33086684 13:3.1106255 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:359.23193 2:8.378596 3:22.364243 4:7.7869377 5:7.111729 6:-5.911998 7:0.81394804 8:-6.966472 9:2.9328969 10:-4.8263474 11:3.3598318 12:0.29460305 13:4.050423 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:363.7523 2:9.255469 3:21.790098 4:8.671081 5:7.839225 6:-6.9805193 7:-0.039658543 8:-5.96277 9:2.7721257 10:-5.464621 11:4.1049204 12:-0.054915752 13:3.5221043 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:367.7703 2:10.55569 3:20.456629 4:8.674663 5:9.807526 6:-7.8368216 7:-0.6159308 8:-5.9165845 9:1.65444 10:-6.8496485 11:5.5605307 12:-0.7684062 13:3.4968405 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:367.64206 2:12.797039 3:20.929928 4:6.9581265 5:8.8209095 6:-7.5600996 7:-0.4424323 8:-6.723938 9:2.6519473 10:-5.7071843 11:4.9420905 12:-2.0855196 13:3.946789 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:368.83542 2:13.857089 3:20.192028 4:6.543127 5:8.1852045 6:-7.557925 7:-0.15601772 8:-5.144002 9:2.8626683 10:-6.25002 11:4.3295426 12:-1.9190428 13:3.4866536 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
1 1:370.6386 2:14.968345 3:18.942549 4:5.417319 5:8.31771 6:-8.220585 7:0.97995627 8:-5.149144 9:3.227424 10:-6.3583503 11:5.0178366 12:-2.3032193 13:1.932938 14:77.82947 15:-4.9890594 16:2.2592099 17:0.89821684 18:1.3114413 19:-0.41402766 20:0.2837948 21:-0.6799089 22:-0.24278717 23:-0.6207994 24:0.4621947 25:-0.6501657 26:0.2689546 
