2 1:289.91476 2:-5.4207816 3:6.3818836 4:-3.7573247 5:-0.012546977 6:-1.2128521 7:4.6272244 8:-1.2480873 9:0.896055 10:-1.1990699 11:1.4287908 12:-1.8652238 13:3.295834 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:290.56805 2:-5.7724395 3:5.1852574 4:-2.1182997 5:0.076055236 6:-1.0853773 7:4.0858407 8:0.48618177 9:3.1324174 10:-2.3019211 11:0.7171932 12:-3.0034273 13:4.8175006 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:288.72037 2:-6.918463 3:5.2175527 4:-1.7987547 5:-0.7969609 6:-2.470476 7:3.445341 8:0.10960174 9:2.639096 10:-3.4507883 11:0.6893785 12:-3.1762636 13:2.2689967 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:284.99573 2:-10.438002 3:3.8819737 4:-1.6585913 5:-0.9765301 6:-4.516051 7:0.4687745 8:-1.5871887 9:1.9616146 10:-1.7777596 11:1.6265382 12:-2.480399 13:3.3146324 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:285.3601 2:-10.017007 3:5.9832435 4:-0.3261249 5:1.7175256 6:-1.4185082 7:1.3834175 8:-0.4484209 9:0.41764784 10:-3.0775177 11:0.7979738 12:-3.845645 13:1.1502372 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:282.41016 2:-10.079206 3:5.3339696 4:0.40753794 5:1.3345189 6:-3.351668 7:0.7896872 8:-0.10019664 9:1.3826643 10:-3.2088287 11:0.17152977 12:-4.0034986 13:1.7671442 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:279.64908 2:-12.477434 3:2.8250635 4:-1.1033125 5:0.92764145 6:-3.1221936 7:1.9671928 8:-0.26670247 9:0.9579016 10:-2.602508 11:1.9152067 12:-2.1202502 13:1.9965787 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:284.65594 2:-9.352858 3:4.9131503 4:1.0423923 5:2.288624 6:-2.5499458 7:0.33906114 8:-3.2951176 9:0.7249078 10:-3.1830378 11:1.0667 12:-2.2480338 13:2.3979707 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:281.60928 2:-9.6488285 3:5.539517 4:1.2238224 5:2.9163666 6:-2.8728898 7:0.78429604 8:-1.2957598 9:1.4594946 10:-4.0337515 11:1.7124995 12:-2.318507 13:1.4096818 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
2 1:282.71527 2:-8.436664 3:3.5188253 4:0.49275663 5:3.1250987 6:-2.4671264 7:2.5520642 8:-1.1605377 9:1.1570601 10:-2.4905481 11:2.2529185 12:-1.3530914 13:2.890149 14:118.63924 15:1.5440533 16:1.9546881 17:0.0348011 18:1.5572332 19:1.1535407 20:1.7465923 21:-0.09371183 22:2.6311266 23:-2.1212 24:1.0860559 25:-0.83199596 26:1.0443335 
