1 1:262.59082 2:-5.3486514 3:8.706879 4:-0.5606402 5:2.882368 6:-1.6673974 7:3.8163733 8:1.8454486 9:4.7392964 10:-1.6059074 11:3.1071055 12:-0.3171323 13:1.6377567 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:261.30466 2:-7.2149634 3:6.254114 4:-2.120058 5:0.60392743 6:-1.3908181 7:4.6109786 8:1.8887063 9:6.5175023 10:0.3963059 11:3.943478 12:0.1781292 13:2.5529296 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:268.4721 2:-5.0492487 3:7.9981284 4:-2.2763553 5:-0.39955595 6:-1.1068248 7:5.9667606 8:1.6145189 9:5.0617623 10:-2.0108407 11:3.5462089 12:-0.12907973 13:2.1669083 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:281.95322 2:-1.077205 3:1.6530088 4:-6.347314 5:1.0075688 6:-0.88682085 7:5.326911 8:1.7904872 9:5.841761 10:-4.0524287 11:3.626828 12:-0.13449673 13:3.9859595 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:302.17032 2:4.515349 3:2.8140535 4:-3.776154 5:3.6250556 6:-2.1672993 7:6.8357744 8:1.4447608 9:9.145685 10:-3.1580846 11:4.9267836 12:-0.91407585 13:4.6665583 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:294.21793 2:6.810225 3:13.882385 4:-1.9776239 5:3.3858328 6:0.42701453 7:9.731692 8:-0.2217787 9:7.2881284 10:-3.63177 11:5.4616523 12:-1.3285136 13:3.8061035 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:316.1991 2:17.595284 3:14.104584 4:-5.2484484 5:2.9842005 6:1.4697062 7:8.283234 8:-5.3011374 9:9.639607 10:-2.4129362 11:7.0863094 12:-3.2646878 13:4.869259 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:316.3638 2:17.24157 3:13.573076 4:-5.6456223 5:4.9251547 6:1.0073478 7:8.056252 8:-4.76756 9:8.623769 10:-0.76413304 11:7.6384645 12:-2.252388 13:4.7774568 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:317.21887 2:19.243593 3:14.124355 4:-7.585972 5:4.5899663 6:1.088138 7:8.323614 8:-4.484298 9:9.368716 10:-1.5351647 11:7.678914 12:-2.814348 13:4.1731296 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:319.59262 2:19.3939 3:13.886964 4:-7.076075 5:4.3789563 6:0.82645094 7:7.6586723 8:-3.3463683 9:7.5506887 10:-1.7347549 11:7.0933566 12:-2.9759686 13:5.0257974 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:318.33954 2:20.615824 3:14.63009 4:-7.8817368 5:3.341625 6:1.8512393 7:8.300134 8:-4.5111146 9:8.056269 10:-1.5429997 11:7.9561815 12:-3.1998382 13:4.9091167 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:329.3378 2:15.019545 3:14.024665 4:-5.166449 5:3.446134 6:0.16631988 7:7.431496 8:-3.2599292 9:7.3436494 10:-1.4644774 11:7.224002 12:-2.2447476 13:4.367373 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
1 1:341.64917 2:15.076156 3:18.974838 4:-2.5786521 5:4.655285 6:-1.5621077 7:6.1372933 8:-4.534273 9:3.5064769 10:-1.9846451 11:4.5216527 12:-4.2393885 13:3.2698374 14:84.49923 15:2.1596816 16:5.3316393 17:-0.32849392 18:2.1139176 19:0.91792184 20:3.20034 21:-0.2952873 22:1.6672335 23:-0.6577893 24:1.7764117 25:-0.47697952 26:1.7362777 
