2 1:210.25526 2:6.5019574 3:0.27767253 4:-1.7049507 5:6.0394115 6:-1.9399948 7:1.9991416 8:-4.934985 9:2.0207548 10:-3.767652 11:4.591011 12:-2.1004157 13:3.230136 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:213.67662 2:6.1418486 3:-0.8819932 4:-2.4832776 5:4.777298 6:-2.3068604 7:2.632057 8:-2.588018 9:1.9143947 10:-5.180658 11:2.116373 12:-2.5156727 13:1.8942884 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:213.67662 2:6.1418486 3:-0.8819932 4:-2.4832776 5:4.777298 6:-2.3068604 7:2.632057 8:-2.588018 9:1.9143947 10:-5.180658 11:2.116373 12:-2.5156727 13:1.8942884 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.04004 2:5.7890296 3:1.9250447 4:-1.7376404 5:5.2452497 6:-1.1126139 7:3.0544899 8:-4.0462427 9:4.5874705 10:-3.3146684 11:3.8501189 12:-1.0368055 13:3.704651 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:209.04004 2:5.7890296 3:1.9250447 4:-1.7376404 5:5.2452497 6:-1.1126139 7:3.0544899 8:-4.0462427 9:4.5874705 10:-3.3146684 11:3.8501189 12:-1.0368055 13:3.704651 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:215.09912 2:5.7021704 3:7.8750615 4:-0.77422035 5:1.5321602 6:-5.300501 7:3.1162417 8:-3.7309177 9:1.9638759 10:-1.6988807 11:2.0521398 12:-1.8321826 13:4.2451982 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:215.09912 2:5.7021704 3:7.8750615 4:-0.77422035 5:1.5321602 6:-5.300501 7:3.1162417 8:-3.7309177 9:1.9638759 10:-1.6988807 11:2.0521398 12:-1.8321826 13:4.2451982 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:211.48997 2:9.039883 3:3.6250682 4:-1.5581774 5:2.4769983 6:-1.0002176 7:0.46827245 8:-4.051206 9:4.8264503 10:-2.898072 11:3.8510475 12:-3.2088957 13:5.391082 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:211.48997 2:9.039883 3:3.6250682 4:-1.5581774 5:2.4769983 6:-1.0002176 7:0.46827245 8:-4.051206 9:4.8264503 10:-2.898072 11:3.8510475 12:-3.2088957 13:5.391082 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:207.00267 2:3.4008117 3:2.515787 4:-1.4733336 5:3.5120635 6:-1.0449684 7:1.3318657 8:-5.134494 9:0.64550406 10:-2.045891 11:3.6994522 12:-1.775415 13:5.3598185 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:207.00267 2:3.4008117 3:2.515787 4:-1.4733336 5:3.5120635 6:-1.0449684 7:1.3318657 8:-5.134494 9:0.64550406 10:-2.045891 11:3.6994522 12:-1.775415 13:5.3598185 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:213.17847 2:11.281055 3:5.375975 4:-1.3885149 5:5.389752 6:-2.1523356 7:1.8392541 8:-4.718028 9:2.6873572 10:-5.8003893 11:7.2434473 12:-1.8354334 13:4.496423 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:213.17847 2:11.281055 3:5.375975 4:-1.3885149 5:5.389752 6:-2.1523356 7:1.8392541 8:-4.718028 9:2.6873572 10:-5.8003893 11:7.2434473 12:-1.8354334 13:4.496423 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:210.64232 2:8.961672 3:4.7350287 4:-0.18095486 5:6.622229 6:-1.8120517 7:1.9493581 8:-5.3563676 9:2.7313952 10:-4.0731144 11:4.1782746 12:-2.9461756 13:2.499081 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
2 1:210.64232 2:8.961672 3:4.7350287 4:-0.18095486 5:6.622229 6:-1.8120517 7:1.9493581 8:-5.3563676 9:2.7313952 10:-4.0731144 11:4.1782746 12:-2.9461756 13:2.499081 14:86.06165 15:6.6137886 16:-1.7764285 17:-3.0940228 18:0.33115852 19:-0.9716134 20:2.6919775 21:-2.3032835 22:2.2814271 23:-0.2123365 24:2.1562042 25:-0.9254493 26:0.8552551 
