1 1:200.00618 2:3.793534 3:4.795189 4:-4.419775 5:5.2271 6:-0.7263691 7:0.11703332 8:-0.8564627 9:3.665795 10:-3.1872134 11:5.3929214 12:1.9547974 13:5.3138337 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:200.00618 2:3.793534 3:4.795189 4:-4.419775 5:5.2271 6:-0.7263691 7:0.11703332 8:-0.8564627 9:3.665795 10:-3.1872134 11:5.3929214 12:1.9547974 13:5.3138337 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.98003 2:9.844022 3:5.2182555 4:0.39176053 5:4.7728353 6:-3.8012724 7:2.6158578 8:-3.8034208 9:3.9212284 10:-1.6617371 11:3.7359257 12:-1.6419272 13:4.865284 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:205.98003 2:9.844022 3:5.2182555 4:0.39176053 5:4.7728353 6:-3.8012724 7:2.6158578 8:-3.8034208 9:3.9212284 10:-1.6617371 11:3.7359257 12:-1.6419272 13:4.865284 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:204.39636 2:10.241918 3:6.542169 4:0.09437663 5:6.8424015 6:-0.67548496 7:4.2849593 8:-4.1536746 9:4.962298 10:-4.210507 11:4.4027286 12:-1.1687957 13:3.662473 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:204.39636 2:10.241918 3:6.542169 4:0.09437663 5:6.8424015 6:-0.67548496 7:4.2849593 8:-4.1536746 9:4.962298 10:-4.210507 11:4.4027286 12:-1.1687957 13:3.662473 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:202.7066 2:7.390716 3:3.3928735 4:-0.352636 5:5.9435096 6:-2.3174293 7:2.828595 8:-2.9055336 9:5.223448 10:-0.7355843 11:4.471414 12:-2.5278673 13:3.6031194 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:202.7066 2:7.390716 3:3.3928735 4:-0.352636 5:5.9435096 6:-2.3174293 7:2.828595 8:-2.9055336 9:5.223448 10:-0.7355843 11:4.471414 12:-2.5278673 13:3.6031194 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:201.40598 2:9.072241 3:3.8615315 4:-2.5014231 5:4.27773 6:1.987994 7:5.4417357 8:-1.6317669 9:2.967049 10:-5.2639832 11:2.223072 12:-4.240977 13:3.9206538 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
1 1:201.40598 2:9.072241 3:3.8615315 4:-2.5014231 5:4.27773 6:1.987994 7:5.4417357 8:-1.6317669 9:2.967049 10:-5.2639832 11:2.223072 12:-4.240977 13:3.9206538 14:90.64488 15:0.89030653 16:3.1540153 17:3.4222088 18:-0.5342577 19:-1.1870146 20:0.81410486 21:-2.1174726 22:0.62682277 23:-1.7744929 24:0.69981307 25:-1.7078875 26:1.4222543 
