2 1:213.30096 2:-2.6828094 3:3.0405624 4:1.9551396 5:1.4857702 6:-4.0475736 7:1.4216154 8:-4.2874722 9:1.0650777 10:-6.411213 11:2.4774623 12:-4.0145664 13:-0.18844923 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:213.30096 2:-2.6828094 3:3.0405624 4:1.9551396 5:1.4857702 6:-4.0475736 7:1.4216154 8:-4.2874722 9:1.0650777 10:-6.411213 11:2.4774623 12:-4.0145664 13:-0.18844923 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:214.79372 2:-1.8640051 3:4.1107745 4:-0.699078 5:2.3238409 6:0.067664385 7:1.5150602 8:-3.074922 9:2.125269 10:-3.8496256 11:4.5502315 12:0.0035134067 13:4.893069 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:214.79372 2:-1.8640051 3:4.1107745 4:-0.699078 5:2.3238409 6:0.067664385 7:1.5150602 8:-3.074922 9:2.125269 10:-3.8496256 11:4.5502315 12:0.0035134067 13:4.893069 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:219.80045 2:-2.3482182 3:0.8582652 4:-1.653283 5:2.7040913 6:-0.41131186 7:1.3355191 8:-4.251378 9:3.6001556 10:-2.6530943 11:1.376363 12:-4.416514 13:2.695786 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:219.80045 2:-2.3482182 3:0.8582652 4:-1.653283 5:2.7040913 6:-0.41131186 7:1.3355191 8:-4.251378 9:3.6001556 10:-2.6530943 11:1.376363 12:-4.416514 13:2.695786 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:218.07997 2:-1.6467233 3:1.2381504 4:-1.4108056 5:5.5462265 6:0.50773495 7:2.6284132 8:-3.2386267 9:-0.23863909 10:-2.6559942 11:2.7341733 12:-6.395802 13:-0.43805164 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:218.07997 2:-1.6467233 3:1.2381504 4:-1.4108056 5:5.5462265 6:0.50773495 7:2.6284132 8:-3.2386267 9:-0.23863909 10:-2.6559942 11:2.7341733 12:-6.395802 13:-0.43805164 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:216.79988 2:0.21588564 3:3.3753316 4:-3.4092062 5:1.3665118 6:-3.6240995 7:-0.5658208 8:-6.3614006 9:0.041596852 10:-3.832838 11:0.047548447 12:-3.2288501 13:4.6634135 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:216.79988 2:0.21588564 3:3.3753316 4:-3.4092062 5:1.3665118 6:-3.6240995 7:-0.5658208 8:-6.3614006 9:0.041596852 10:-3.832838 11:0.047548447 12:-3.2288501 13:4.6634135 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:211.38498 2:-1.0864992 3:6.0508933 4:-1.7728766 5:2.014775 6:0.86950266 7:-0.63907474 8:-8.570896 9:-1.1524564 10:-1.4873843 11:2.237516 12:-5.0417323 13:1.0359162 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:211.38498 2:-1.0864992 3:6.0508933 4:-1.7728766 5:2.014775 6:0.86950266 7:-0.63907474 8:-8.570896 9:-1.1524564 10:-1.4873843 11:2.237516 12:-5.0417323 13:1.0359162 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:207.83063 2:-3.6288831 3:0.16572124 4:-2.6048882 5:1.7506033 6:0.72216326 7:0.8493917 8:-5.1498117 9:3.2027414 10:-3.6473198 11:2.722738 12:-1.1148764 13:4.863283 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:207.83063 2:-3.6288831 3:0.16572124 4:-2.6048882 5:1.7506033 6:0.72216326 7:0.8493917 8:-5.1498117 9:3.2027414 10:-3.6473198 11:2.722738 12:-1.1148764 13:4.863283 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
2 1:208.98602 2:-0.39526048 3:3.6436586 4:-2.4631693 5:-1.0313162 6:0.26848385 7:0.78123754 8:-8.001461 9:4.0424404 10:0.3115394 11:1.9603096 12:-5.4138947 13:2.0439065 14:74.93567 15:4.8472 16:0.52161324 17:-1.648796 18:0.19381224 19:-1.1899052 20:0.80732465 21:-2.6290276 22:0.4379325 23:-1.101083 24:1.0120093 25:-1.6769819 26:1.0309305 
