1 1:257.6882 2:1.795574 3:6.8284807 4:-7.0569973 5:3.6200266 6:-0.95392644 7:-0.0051304656 8:-0.020188136 9:4.8799777 10:-2.3125012 11:3.8560812 12:-0.49140793 13:2.974065 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:259.32333 2:5.315 3:5.7465725 4:-9.204526 5:4.555983 6:-1.4546778 7:-0.93418926 8:-2.2250397 9:3.777668 10:-1.5245435 11:3.805236 12:-0.3459748 13:4.299734 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:260.46008 2:5.5006027 3:6.272426 4:-6.6694045 5:5.607256 6:0.72496593 7:0.031581976 8:-4.4852014 9:2.9633873 10:-3.5156946 11:3.3912098 12:-0.14317542 13:4.2907753 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:261.8288 2:6.5000243 3:4.782128 4:-7.245632 5:5.52826 6:-1.2196517 7:-2.042149 8:-6.2049694 9:2.7754588 10:-3.0690799 11:1.9944503 12:-0.4841184 13:4.0652924 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:261.17587 2:8.439172 3:3.2728486 4:-8.451637 5:6.102407 6:0.38889474 7:-0.2897155 8:-4.3172483 9:3.5587103 10:-4.1551433 11:1.0140979 12:-3.4799078 13:3.3769944 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:259.09595 2:10.237318 3:3.7936 4:-7.4666624 5:7.786509 6:0.12739375 7:0.3934484 8:-4.8861217 9:2.9675698 10:-3.8223295 11:2.7099507 12:-2.4336116 13:2.716388 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:260.09753 2:12.424444 3:-0.23645337 4:-5.679414 5:11.062507 6:1.0329028 7:3.5456758 8:-4.833915 9:3.4830368 10:-4.1341357 11:3.0284247 12:-3.3167064 13:6.0834656 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:256.08328 2:10.29551 3:-1.0026283 4:-7.386862 5:6.840756 6:-4.0042367 7:0.4007557 8:-3.279879 9:3.76118 10:-2.0563636 11:3.1507416 12:-4.1818895 13:5.8036575 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:249.8204 2:8.937842 3:0.5791014 4:-7.0163555 5:6.8276386 6:-2.5621521 7:1.7852647 8:-1.5213201 9:3.3250508 10:-2.3801317 11:4.781411 12:-2.2856424 13:3.681115 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
1 1:255.25528 2:11.519996 3:4.08967 4:-5.0239367 5:9.89924 6:-0.7960706 7:3.3224857 8:-0.6665967 9:5.720982 10:-3.223593 11:3.4547753 12:-2.9878707 13:2.0220091 14:76.61696 15:4.8672156 16:5.45625 17:0.25333235 18:2.8046632 19:-0.45436072 20:1.790045 21:-1.123432 22:2.0910215 23:-0.76039046 24:1.7179891 25:-1.3415341 26:1.3091486 
