2 1:340.8033 2:25.080732 3:1.5057783 4:-2.6926317 5:0.546997 6:-10.438985 7:13.461511 8:-5.6099977 9:-0.51316303 10:-0.51244575 11:4.4555273 12:-7.743681 13:10.362042 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:340.69287 2:24.1959 3:0.96427864 4:-2.3105173 5:0.8374891 6:-9.39791 7:12.865843 8:-5.691144 9:-1.2141364 10:0.09446433 11:5.079065 12:-6.9673567 13:10.561935 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:341.4742 2:23.308905 3:-0.455305 4:-1.8749492 5:1.8340232 6:-8.42642 7:11.023639 8:-6.459897 9:-2.373338 10:0.4279987 11:5.189977 12:-5.7743125 13:9.511688 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:339.34766 2:24.894405 3:-2.0440845 4:-0.8553993 5:2.3353286 6:-7.9558873 7:10.452556 8:-6.725747 9:-2.9431703 10:0.5897996 11:5.278278 12:-6.2283792 13:10.169151 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:339.48215 2:20.004978 3:1.4580983 4:-1.3529975 5:2.7889977 6:-6.991813 7:9.0435295 8:-7.144472 9:-1.3491244 10:-0.59694725 11:5.4317985 12:-4.4144106 13:7.664988 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:336.39053 2:20.816023 3:1.1780518 4:-0.66608876 5:3.6036952 6:-7.2335 7:8.9664545 8:-7.0968156 9:-1.9583 10:-0.2745256 11:4.9390926 12:-4.4918265 13:8.218684 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:333.66678 2:18.745325 3:2.709303 4:1.2113774 5:5.421774 6:-8.485651 7:8.85419 8:-6.643098 9:-1.8867424 10:-0.50074905 11:3.3441916 12:-3.5340722 13:8.318083 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:330.8615 2:17.449175 3:3.4857557 4:3.278591 5:4.5890517 6:-7.479267 7:8.033856 8:-6.213328 9:-1.1587211 10:-1.5163323 11:3.384369 12:-3.4928086 13:8.094579 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:322.0391 2:18.971476 3:2.3239715 4:6.1685824 5:6.646915 6:-8.622117 7:6.6722727 8:-4.3415933 9:-1.6341556 10:-1.0898516 11:2.2454727 12:-3.9908323 13:9.434039 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:319.66595 2:18.049683 3:3.8119283 4:5.98731 5:7.176772 6:-8.552554 7:6.795896 8:-4.51187 9:-1.2116011 10:-1.3195047 11:2.107664 12:-4.2033772 13:8.761283 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:318.05392 2:18.401394 3:3.60473 4:6.73939 5:9.0113125 6:-8.932092 7:7.4365416 8:-4.2135305 9:-0.8478601 10:-1.1095885 11:1.1821843 12:-5.177279 13:7.898535 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:316.0949 2:18.289997 3:3.736887 4:7.2121396 5:9.508259 6:-8.027694 7:6.6385565 8:-4.8882613 9:-0.3404339 10:-1.3524381 11:1.6966022 12:-6.0586157 13:7.823595 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:315.30237 2:19.08914 3:4.255651 4:8.431375 5:10.103835 6:-7.711077 7:7.554104 8:-6.7836404 9:0.20038341 10:-0.4096329 11:2.3466883 12:-7.4669027 13:6.5877514 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:314.8457 2:18.443384 3:4.908374 4:6.9542603 5:11.45687 6:-6.814251 7:6.8748927 8:-7.652604 9:1.3238806 10:-1.3359355 11:2.9268184 12:-7.6858306 13:6.372882 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:310.5873 2:20.688438 3:4.6939664 4:6.4617867 5:12.309634 6:-5.317372 7:6.5265718 8:-7.2536016 9:-0.31600323 10:0.3828321 11:2.6728537 12:-8.82978 13:7.470787 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
