2 1:105.72113 2:-0.5687466 3:3.0664263 4:-4.1930456 5:1.6956943 6:-5.8103414 7:0.98491526 8:-1.8670219 9:2.8419075 10:-1.3231984 11:3.152624 12:0.83774924 13:3.5379922 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:108.10243 2:0.15837409 3:5.325168 4:-4.867992 5:2.145352 6:-2.3351836 7:0.8056816 8:-3.0603127 9:3.0416422 10:-3.5285225 11:3.9520938 12:0.39298132 13:2.1579256 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:108.10243 2:0.15837409 3:5.325168 4:-4.867992 5:2.145352 6:-2.3351836 7:0.8056816 8:-3.0603127 9:3.0416422 10:-3.5285225 11:3.9520938 12:0.39298132 13:2.1579256 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:107.12788 2:-2.6417327 3:4.212547 4:-3.3512928 5:-1.4476527 6:-4.48153 7:-1.3461105 8:-1.3018763 9:3.9792533 10:-2.0902684 11:1.7548672 12:-3.46657 13:3.2922833 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:107.12788 2:-2.6417327 3:4.212547 4:-3.3512928 5:-1.4476527 6:-4.48153 7:-1.3461105 8:-1.3018763 9:3.9792533 10:-2.0902684 11:1.7548672 12:-3.46657 13:3.2922833 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:106.010765 2:-3.7468812 3:3.2711253 4:-0.74396133 5:3.2682235 6:-3.9371254 7:4.2623014 8:1.9864777 9:2.654961 10:-3.808028 11:-0.6995129 12:-4.9702024 13:3.273015 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:106.010765 2:-3.7468812 3:3.2711253 4:-0.74396133 5:3.2682235 6:-3.9371254 7:4.2623014 8:1.9864777 9:2.654961 10:-3.808028 11:-0.6995129 12:-4.9702024 13:3.273015 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:105.56976 2:2.9483943 3:3.8529058 4:-3.1355283 5:3.4079328 6:-0.24201691 7:4.877892 8:-4.242663 9:3.5817802 10:-0.68966043 11:4.1464067 12:-3.0764244 13:1.472465 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:105.56976 2:2.9483943 3:3.8529058 4:-3.1355283 5:3.4079328 6:-0.24201691 7:4.877892 8:-4.242663 9:3.5817802 10:-0.68966043 11:4.1464067 12:-3.0764244 13:1.472465 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
2 1:107.27953 2:-0.35374352 3:1.4216533 4:-3.3181167 5:2.769041 6:-1.1181072 7:2.492978 8:-2.1167877 9:4.889742 10:-4.331245 11:3.2639644 12:-0.1679455 13:4.073572 14:95.470795 15:3.9196582 16:1.6440736 17:-1.3845212 18:1.6512884 19:-0.84178096 20:0.15225528 21:-2.895859 22:0.9082713 23:0.19794013 24:1.5732957 25:-1.8733548 26:1.7970686 
