2 1:231.0603 2:-3.4520288 3:9.274871 4:-0.5364954 5:1.0600121 6:-5.41199 7:4.712089 8:1.7841706 9:-8.982546 10:0.17545377 11:0.29322058 12:-0.53579557 13:5.7782116 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:231.0603 2:-3.4520288 3:9.274871 4:-0.5364954 5:1.0600121 6:-5.41199 7:4.712089 8:1.7841706 9:-8.982546 10:0.17545377 11:0.29322058 12:-0.53579557 13:5.7782116 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:190.94069 2:3.7247407 3:6.5126495 4:-1.4941442 5:1.5721905 6:-5.86669 7:0.3738214 8:0.37510163 9:1.590526 10:0.6292541 11:3.1656878 12:-0.30047968 13:7.05361 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:190.94069 2:3.7247407 3:6.5126495 4:-1.4941442 5:1.5721905 6:-5.86669 7:0.3738214 8:0.37510163 9:1.590526 10:0.6292541 11:3.1656878 12:-0.30047968 13:7.05361 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:191.94928 2:4.7907205 3:0.08547379 4:-3.124675 5:0.88101643 6:-6.196978 7:0.66811204 8:-4.061085 9:-2.4774878 10:-0.9008737 11:3.2725267 12:-1.8332402 13:9.423598 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:191.94928 2:4.7907205 3:0.08547379 4:-3.124675 5:0.88101643 6:-6.196978 7:0.66811204 8:-4.061085 9:-2.4774878 10:-0.9008737 11:3.2725267 12:-1.8332402 13:9.423598 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:179.54103 2:0.41569448 3:0.9642686 4:-4.2681694 5:3.8810747 6:-1.6607847 7:4.4121876 8:-0.35662812 9:-2.6424744 10:-4.540055 11:2.3450212 12:-2.835154 13:3.9723911 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:179.54103 2:0.41569448 3:0.9642686 4:-4.2681694 5:3.8810747 6:-1.6607847 7:4.4121876 8:-0.35662812 9:-2.6424744 10:-4.540055 11:2.3450212 12:-2.835154 13:3.9723911 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:164.43913 2:0.07687358 3:3.0615993 4:-1.7448331 5:0.042988744 6:-3.1204996 7:3.770367 8:-2.8124902 9:-0.34212473 10:-3.2747216 11:2.6144028 12:-0.19678313 13:6.1850476 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:164.43913 2:0.07687358 3:3.0615993 4:-1.7448331 5:0.042988744 6:-3.1204996 7:3.770367 8:-2.8124902 9:-0.34212473 10:-3.2747216 11:2.6144028 12:-0.19678313 13:6.1850476 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:155.6092 2:1.8752774 3:3.3647442 4:-4.239099 5:2.3978705 6:-1.0540237 7:1.6877648 8:-3.774029 9:-0.2877402 10:0.34659365 11:5.4059796 12:0.5727677 13:5.220039 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:155.6092 2:1.8752774 3:3.3647442 4:-4.239099 5:2.3978705 6:-1.0540237 7:1.6877648 8:-3.774029 9:-0.2877402 10:0.34659365 11:5.4059796 12:0.5727677 13:5.220039 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:155.15875 2:6.156645 3:7.3097625 4:-1.4039629 5:2.506782 6:-3.7758965 7:-0.18705243 8:-2.9745226 9:2.0905828 10:-3.915165 11:1.8092746 12:0.13321032 13:7.19786 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:155.15875 2:6.156645 3:7.3097625 4:-1.4039629 5:2.506782 6:-3.7758965 7:-0.18705243 8:-2.9745226 9:2.0905828 10:-3.915165 11:1.8092746 12:0.13321032 13:7.19786 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:173.00847 2:8.59826 3:9.879201 4:-3.2831242 5:5.6266007 6:-4.6464095 7:0.945785 8:-1.5585424 9:3.461079 10:-6.325321 11:4.2192287 12:-0.9024127 13:9.220757 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:173.00847 2:8.59826 3:9.879201 4:-3.2831242 5:5.6266007 6:-4.6464095 7:0.945785 8:-1.5585424 9:3.461079 10:-6.325321 11:4.2192287 12:-0.9024127 13:9.220757 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:173.34732 2:4.270326 3:10.203503 4:-0.2315741 5:4.576388 6:-6.2207184 7:2.189315 8:-2.0900974 9:0.9326072 10:-5.3295836 11:5.805146 12:-1.733582 13:7.5465035 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:173.34732 2:4.270326 3:10.203503 4:-0.2315741 5:4.576388 6:-6.2207184 7:2.189315 8:-2.0900974 9:0.9326072 10:-5.3295836 11:5.805146 12:-1.733582 13:7.5465035 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:173.39848 2:4.438158 3:6.4950776 4:-6.52709 5:3.7754092 6:-1.7778538 7:4.651896 8:-5.993323 9:0.350803 10:-5.157255 11:3.6269002 12:-1.0524559 13:6.2943196 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
