2 1:162.59033 2:-0.7701457 3:1.6651603 4:-4.558216 5:-0.055268724 6:-1.2683884 7:5.5067873 8:-2.6630795 9:3.8777797 10:-2.532333 11:1.2536813 12:-1.6093284 13:2.7713192 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:162.59033 2:-0.7701457 3:1.6651603 4:-4.558216 5:-0.055268724 6:-1.2683884 7:5.5067873 8:-2.6630795 9:3.8777797 10:-2.532333 11:1.2536813 12:-1.6093284 13:2.7713192 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:171.4742 2:5.746747 3:6.504946 4:-2.117905 5:2.3004255 6:-3.1420844 7:2.9848824 8:-1.9831288 9:2.8694263 10:-2.2465155 11:1.0581284 12:-3.433229 13:3.279817 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:171.4742 2:5.746747 3:6.504946 4:-2.117905 5:2.3004255 6:-3.1420844 7:2.9848824 8:-1.9831288 9:2.8694263 10:-2.2465155 11:1.0581284 12:-3.433229 13:3.279817 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:203.52058 2:7.06692 3:6.8120713 4:-0.24230981 5:5.7597404 6:-2.688717 7:2.0949888 8:-4.5200396 9:3.3015509 10:-2.6273289 11:1.2730192 12:-2.453013 13:3.8122728 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:203.52058 2:7.06692 3:6.8120713 4:-0.24230981 5:5.7597404 6:-2.688717 7:2.0949888 8:-4.5200396 9:3.3015509 10:-2.6273289 11:1.2730192 12:-2.453013 13:3.8122728 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.39449 2:5.98456 3:9.574524 4:1.8479203 5:5.3450913 6:-4.2296867 7:5.383526 8:-0.5701644 9:7.1000624 10:-0.9331854 11:1.9922132 12:-3.8487058 13:3.517875 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.39449 2:5.98456 3:9.574524 4:1.8479203 5:5.3450913 6:-4.2296867 7:5.383526 8:-0.5701644 9:7.1000624 10:-0.9331854 11:1.9922132 12:-3.8487058 13:3.517875 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:159.89796 2:-0.38422287 3:4.514359 4:-0.38013822 5:4.757585 6:0.92056185 7:4.7230873 8:-1.8510184 9:3.750647 10:-2.8229578 11:0.6466689 12:-2.0031729 13:2.1015894 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:159.89796 2:-0.38422287 3:4.514359 4:-0.38013822 5:4.757585 6:0.92056185 7:4.7230873 8:-1.8510184 9:3.750647 10:-2.8229578 11:0.6466689 12:-2.0031729 13:2.1015894 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
